Digitale Kriminalität: Modi Operandi der digitalen Kriminalität und beschuldigte Personen,,,,,,,,,,,,,,,,,,,,,,,,,T 19.02.09.01.02
Schweiz Jahr 2024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Altersgruppen,,,,,,,,,,,,,Geschecht,,,,Aufenthaltsstatus,,,
Modi operandi1),Straftaten2),"aufgeklärte
Sraftaten",Aufklärungsrate,Total beschuldigte Personen,<10,10-14,15-17,"18, 19",20-24,25-29,30-34,35-39,40-49,50-59,60-69,70+,s.n.,männlich,weiblich,juristische Personen,o.A.,Total,Ständige Wohnbev.,Asyl-Bevölkerung,Übrige Ausländer
"davon: Missbrauch von Online-Zahlungssyst./Wertkarten oder einer fremden Identität, um einen Betrug zu begehen", 22 293 , 2 656 ,11.9%, 1 050 ,0 ,  41 ,  76 ,  102 ,  181 ,  152 ,  140 ,  102 ,  130 ,  81 ,  24 ,  18 ,0 ,  737 ,  310 ,  3 ,0 , 1 047 ,  795 ,  65 ,  187 
davon: Online Anlagebetrug, 2 974 ,  196 ,6.6%,  194 ,0 ,0 ,0 ,  4 ,  17 ,  24 ,  22 ,  15 ,  29 ,  27 ,  18 ,  3 ,  1 ,  135 ,  25 ,  34 ,0 ,  160 ,  61 ,  2 ,  97 
davon: Anderer Internetbetrug,  862 ,  173 ,20.1%,  140 ,0 ,  2 ,  10 ,  14 ,  18 ,  17 ,  19 ,  13 ,  16 ,  12 ,  5 ,  1 ,0 ,  100 ,  27 ,  13 ,0 ,  127 ,  106 ,  5 ,  16 
Money/Package Mules, 3 757 , 1 397 ,37.2%, 1 150 ,0 ,  1 ,  21 ,  62 ,  128 ,  116 ,  117 ,  104 ,  185 ,  189 ,  121 ,  80 ,  2 ,  720 ,  406 ,  24 ,0 , 1 126 ,  915 ,  44 ,  167 
Sextortion (money), 1 385 ,  133 ,9.6%,  59 ,0 ,  2 ,  6 ,  3 ,  15 ,  11 ,  12 ,  3 ,  3 ,  2 ,  1 ,0 ,  1 ,  46 ,  13 ,0 ,0 ,  59 ,  34 ,  2 ,  23 
Diebstahl von Kryptowährungen,  95 ,  12 ,12.6%,  13 ,0 ,0 ,0 ,  2 ,  2 ,  1 ,  1 ,0 ,  3 ,0 ,0 ,0 ,0 ,  8 ,  1 ,  4 ,0 ,  9 ,  3 ,  1 ,  5 
Cyber Sexualdelikte, 2 922 , 2 694 ,92.2%, 1 998 ,  18 ,  441 ,  440 ,  123 ,  169 ,  121 ,  96 ,  119 ,  192 ,  153 ,  86 ,  40 ,0 , 1 805 ,  193 ,0 ,0 , 1 998 , 1 865 ,  66 ,  67 
Verbotene Pornografie, 2 705 , 2 541 ,93.9%, 1 903 ,  18 ,  429 ,  426 ,  114 ,  158 ,  113 ,  93 ,  111 ,  180 ,  140 ,  83 ,  38 ,0 , 1 718 ,  185 ,0 ,0 , 1 903 , 1 779 ,  64 ,  60 
Grooming,  135 ,  110 ,81.5%,  77 ,0 ,  7 ,  10 ,  5 ,  9 ,  6 ,  4 ,  5 ,  11 ,  13 ,  5 ,  2 ,0 ,  71 ,  6 ,0 ,0 ,  77 ,  70 ,  1 ,  6 
Sextortion (sex),  68 ,  33 ,48.5%,  25 ,0 ,  6 ,  7 ,  3 ,  3 ,  2 ,0 ,  2 ,  2 ,0 ,0 ,0 ,0 ,  22 ,  3 ,0 ,0 ,  25 ,  22 ,  2 ,  1 
Live Streaming,  14 ,  10 ,71.4%,  8 ,0 ,  1 ,  1 ,  1 ,0 ,  1 ,0 ,  1 ,0 ,  3 ,0 ,0 ,0 ,  8 ,0 ,0 ,0 ,  8 ,  8 ,0 ,0 
Cyber Rufschädigung und unlauteres Verhalten,  698 ,  398 ,57.0%,  304 ,0 ,  36 ,  36 ,  10 ,  28 ,  20 ,  38 ,  32 ,  43 ,  35 ,  23 ,  3 ,0 ,  195 ,  109 ,0 ,0 ,  304 ,  275 ,  6 ,  23 
Cybersquatting,  58 ,  5 ,8.6%,  5 ,0 ,0 ,0 ,  2 ,0 ,0 ,0 ,0 ,0 ,  3 ,0 ,0 ,0 ,  5 ,0 ,0 ,0 ,  5 ,  4 ,0 ,  1 
Cyber-Rufschädigung (Geschäftlich),  54 ,  29 ,53.7%,  31 ,0 ,0 ,0 ,0 ,  2 ,  3 ,  7 ,  5 ,  5 ,  5 ,  4 ,0 ,0 ,  25 ,  6 ,0 ,0 ,  31 ,  30 ,0 ,  1 
Cyberbullying/Cybermobbing,  586 ,  364 ,62.1%,  268 ,0 ,  36 ,  36 ,  8 ,  26 ,  17 ,  31 ,  27 ,  38 ,  27 ,  19 ,  3 ,0 ,  165 ,  103 ,0 ,0 ,  268 ,  241 ,  6 ,  21 
Darknet,0 ,0 ,-,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Illegaler Handel im Darknet,0 ,0 ,-,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 
Andere,  1 ,  1 ,100.0%,  1 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Data leaking,  1 ,  1 ,100.0%,  1 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
"1) Wenn für eine Straftat mehrere Cybermodi erfasst wurden, wurde bei dieser Auswertung nur der erste Modus berücksichtigt.",,,,,,,,,,,,,,,,,,,,,,,,,
"2) Unbefugte Datenbeschaffung (Art. 143), Unbefugtes Eindringen in ein Datenverarbeitungssystem (Art. 143bis), Datenbeschädigung (Art. 144bis), Betrug (Art. 146), Betrügerischer Missbrauch einer Datenverarbeitungsanlage (Art. 147), Erpressung (Art. 156), Hehlerei (Art. 160), Verletzung des Fabrikations oder Geschäftsgeheimnisses (Art. 162), Üble Nachrede (Art. 173), Verleumdung (Art. 174), Beschimpfung (Art. 177), Verletzung des Geheim- oder Privatbereichs durch Aufnahmegeräte (Art. 179quater), Missbrauch einer Fernmeldeanlage (Art. 179septies), Unbefugtes Beschaffen von Personendaten (Art. 179novies), Identitätsmissbrauch (Art. 179decies), Drohung (Art. 180), Nötigung (Art. 181), Sexuelle Handlungen mit Kindern (Art. 187), Pornografie (Art. 197), Sexuelle Belästigung (Art. 198), Störung von Betrieben, die der Allgemeinheit dienen (Art. 239), Urkundenfälschung (Art. 251), Fälschung von Ausweisen (Art. 252), Diskriminierung oder Aufruf zu Hass (Art. 261bis), Geldwäscherei (Art. 305bis), Verletzung Amtsgeheimnis (Art. 320), Verletzung Berufsgeheimnis (Art. 321), Berufsgeheimnis in der Forschung am Menschen (Art. 321bis), Verletzung Post-/Fernmeldegeheimnis (Art. 321ter)",,,,,,,,,,,,,,,,,,,,,,,,,
X: keine Angaben aus Datenschutzgründen (Zahlen zwischen 1 und 3),,,,,,,,,,,,,,,,,,,,,,,,,
Stand der Datenbank: 14.02.2025,,,,,,,,,,,,,,,,,,,,,,,,,
Quelle: BFS - Polizeiliche Kriminalstatistik (PKS),,,,,,,,,,,,,,,,,,,,,,,,,
© BFS 2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Auskunftsstelle: Bundesamt für Statistik (BFS), Sektion Kriminalität und Strafrecht, pks@bfs.admin.ch, 058 463 62 40",,,,,,,,,,,,,,,,,,,,,,,,,
