Digitale Kriminalität: Modi Operandi der digitalen Kriminalität und beschuldigte Personen,,,,,,,,,,,,,,,,,,,,,,,,,T 19.02.09.01.02
Schweiz Jahr 2023,,,,,,,,,,,,,,,,,,,,,,,,,
Illegaler Handel im Darknet,  4 ,  2 ,50.0%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Andere,  3 ,  2 ,66.7%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
Data leaking,  3 ,  2 ,66.7%,  2 ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  ,X  
"1) Wenn für eine Straftat mehrere Cybermodi erfasst wurden, wurde bei dieser Auswertung nur der erste Modus berücksichtigt.",,,,,,,,,,,,,,,,,,,,,,,,,
"2) Unbefugte Datenbeschaffung (Art. 143), Unbefugtes Eindringen in ein Datenverarbeitungssystem (Art. 143bis), Datenbeschädigung (Art. 144bis), Betrug (Art. 146), Betrügerischer Missbrauch einer Datenverarbeitungsanlage (Art. 147), Erpressung (Art. 156), Hehlerei (Art. 160), Verletzung des Fabrikations oder Geschäftsgeheimnisses (Art. 162), Üble Nachrede (Art. 173), Verleumdung (Art. 174), Beschimpfung (Art. 177), Verletzung des Geheim- oder Privatbereichs durch Aufnahmegeräte (Art. 179quater), Missbrauch einer Fernmeldeanlage (Art. 179septies), Unbefugtes Beschaffen von Personendaten (Art. 179novies), Identitätsmissbrauch (Art. 179decies) - seit 01.09.2023, Drohung (Art. 180), Nötigung (Art. 181), Sexuelle Handlungen mit Kindern (Art. 187), Pornografie (Art. 197), Sexuelle Belästigung (Art. 198), Störung von Betrieben, die der Allgemeinheit dienen (Art. 239), Urkundenfälschung (Art. 251), Fälschung von Ausweisen (Art. 252), Diskriminierung oder Aufruf zu Hass (Art. 261bis), Geldwäscherei (Art. 305bis), Verletzung Amtsgeheimnis (Art. 320), Verletzung Berufsgeheimnis (Art. 321), Berufsgeheimnis in der Forschung am Menschen (Art. 321bis), Verletzung Post-/Fernmeldegeheimnis (Art. 321ter)",,,,,,,,,,,,,,,,,,,,,,,,,
X: keine Angaben aus Datenschutzgründen (Zahlen zwischen 1 und 3),,,,,,,,,,,,,,,,,,,,,,,,,
Stand der Datenbank: 15.02.2024,,,,,,,,,,,,,,,,,,,,,,,,,
Quelle: BFS - Polizeiliche Kriminalstatistik (PKS),,,,,,,,,,,,,,,,,,,,,,,,,
© BFS 2024,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
"Auskunftsstelle: Bundesamt für Statistik (BFS), Sektion Kriminalität und Strafrecht, pks@bfs.admin.ch, 058 463 62 40",,,,,,,,,,,,,,,,,,,,,,,,,
